storenum,secs
76,119
127,135
777,105
445,144
493,82
822,268
640,151
365,60
661,175
607,151
496,125
597,368
530,440
639,119
830,163
777,205
891,160
664,337
287,135
6,129
304,220
544,129
239,227
704,231
284,107
563,322
210,170
13,171
513,35
192,192
616,379
607,126
520,571
151,143
112,179
118,230
604,360
873,114
659,288
192,117
205,153
73,565
318,149
625,207
542,47
196,142
804,121
781,144
348,420
740,404
362,343
150,176
216,106
324,36
440,323
509,211
156,74
400,310
272,103
37,73
270,449
256,402
360,391
592,222
30,99
657,241
774,168
838,279
802,565
484,139
376,486
399,599
238,561
685,225
642,144
133,111
752,152
8,237
381,83
289,102
774,167
835,47
137,148
667,312
693,420
311,92
648,100
514,229
363,87
891,367
457,121
10,165
180,40
255,171
257,478
426,108
565,472
509,187
164,172
161,192
671,398
155,115
774,158
658,197
711,210
202,149
9,437
863,164
554,133
769,368
598,149
55,236
180,276
251,130
366,58
551,170
601,342
359,144
89,86
354,104
742,491
108,160
216,274
652,539
252,167
154,425
92,178
165,178
415,221
784,182
851,460
457,280
155,143
98,98
32,129
518,101
166,328
2,121
619,362
31,187
519,415
434,463
154,96
60,491
681,166
420,127
743,79
643,313
419,116
664,155
679,519
378,32
621,129
265,103
56,591
645,150
50,38
643,137
590,184
245,287
707,426
288,434
355,154
203,204
812,36
323,97
701,140
726,191
80,163
340,157
439,453
776,270
651,124
670,354
412,106
306,196
713,128
49,174
199,80
569,131
598,361
846,70
80,42
633,376
174,137
347,75
529,345
220,453
528,410
746,87
648,203
351,110
706,307
733,163
121,275
788,181
563,598
577,476
113,162
52,296
6,156
769,112
783,134
293,204
272,283
77,173
568,195
196,39
837,169
794,145
190,510
882,269
119,298
476,77
132,239
197,165
440,517
779,192
17,71
194,266
556,96
754,165
102,271
857,165
261,78
77,52
468,577
754,110
569,159
724,447
807,56
775,190
335,166
665,170
889,274
267,123
679,154
363,106
216,322
40,140
714,266
403,118
319,411
46,99
219,180
884,40
451,35
193,34
91,179
214,141
787,103
52,111
865,573
128,441
411,222
554,274
452,192
830,336
426,93
57,45
741,47
280,570
715,178
253,587
203,151
541,58
716,188
555,507
867,144
110,153
29,438
40,294
883,405
369,125
674,548
283,280
816,173
801,69
342,136
830,125
710,57
85,101
666,108
156,169
218,38
195,222
339,251
809,167
724,359
577,267
104,86
751,220
580,146
295,108
745,38
671,556
279,214
428,544
341,158
784,171
390,303
18,65
823,272
500,274
410,234
722,132
891,115
694,347
40,55
865,90
740,444
551,202
321,46
332,150
391,483
445,93
834,144
240,559
300,333
278,451
450,57
45,121
415,116
621,143
238,219
293,141
211,199
173,566
667,413
605,304
358,174
571,427
628,147
802,572
86,52
680,54
1,408
750,170
838,479
418,190
804,121
780,323
811,89
239,225
405,132
307,131
6,109
534,441
459,339
808,290
278,105
271,316
867,184
360,59
416,121
827,185
363,73
431,379
89,297
570,41
700,106
67,120
452,189
436,215
102,42
2,407
527,118
660,181
358,74
270,221
65,206
294,321
220,182
359,171
93,354
102,152
625,52
129,232
709,195
453,445
852,103
803,136
834,161
388,151
822,332
25,330
719,81
174,271
60,270
658,196
798,404
180,115
337,174
815,53
866,146
375,63
228,455
419,130
643,337
246,129
110,285
479,166
834,282
662,333
331,303
224,303
541,182
743,166
351,148
639,539
825,64
429,87
17,408
363,52
612,39
86,134
180,129
803,304
586,135
238,54
222,138
192,212
580,42
528,151
451,226
127,130
380,90
441,135
408,117
304,82
891,101
665,196
674,114
286,47
883,190
673,109
243,277
618,399
192,223
454,220
743,532
312,88
299,454
889,563
53,138
178,182
645,210
722,145
882,108
480,343
315,565
584,123
104,574
432,167
771,131
276,185
824,52
602,217
510,130
674,412
667,409
249,157
260,213
48,435
362,60
110,97
600,121
596,107
880,507
436,59
833,159
376,54
191,165
452,43
416,304
244,118
622,154
492,166
759,176
369,47
603,124
626,508
714,166
888,323
372,410
204,74
471,517
680,74
63,201
792,31
216,182
890,121
352,202
29,374
446,67
219,394
540,95
146,498
255,67
84,102
17,103
430,293
51,137
723,153
5,183
256,499
572,327
849,360
418,244
588,166
297,415
605,83
804,137
793,37
194,135
663,123
204,591
210,89
238,486
414,46
742,245
57,376
421,166
533,124
86,131
56,276
619,155
685,244
472,362
357,118
474,475
793,141
741,294
61,85
421,129
30,339
378,84
173,499
272,197
787,347
721,202
66,342
379,163
405,34
892,154
506,230
383,129
776,139
513,74
10,497
242,83
704,91
676,146
262,125
483,465
191,61
723,164
759,390
145,160
618,35
823,283
53,145
773,207
121,202
570,142
235,71
178,379
87,420
266,150
173,166
700,432
571,333
7,565
219,141
548,126
526,517
785,509
408,409
228,416
14,166
104,126
726,74
564,316
365,156
599,201
323,316
524,406
428,116
563,161
522,63
757,131
419,144
172,148
21,168
209,52
843,141
543,129
44,75
536,301
245,207
585,120
127,333
850,119
197,143
754,47
591,106
44,216
530,104
318,119
540,161
814,60
27,148
615,438
394,186
730,56
716,147
831,125
891,107
464,328
852,232
866,88
864,123
495,145
818,127
337,489
156,228
752,340
753,36
781,100
680,502
808,116
168,389
448,447
549,192
528,344
472,140
824,158
767,107
173,118
4,168
678,184
528,230
733,88
809,432
50,346
791,112
651,115
41,161
879,142
640,90
390,312
107,287
242,261
502,151
592,197
819,43
778,327
648,64
731,129
305,110
594,209
497,121
823,136
820,157
245,148
325,142
283,588
544,31
797,140
810,78
738,274
573,256
31,184
693,51
442,96
371,36
567,33
554,116
192,305
570,351
7,319
198,417
406,315
4,50
243,117
636,34
786,345
162,162
861,45
223,143
855,526
260,97
204,134
34,149
500,140
93,354
150,228
813,241
610,327
478,146
781,207
60,79
637,401
337,461
874,135
597,487
164,109
331,174
10,101
184,215
105,77
430,193
249,554
169,105
519,135
391,298
325,168
693,142
629,249
425,69
649,337
36,240
280,145
817,238
331,551
273,183
760,191
69,263
848,274
469,147
555,151
83,44
744,290
14,360
573,397
783,39
543,171
310,359
39,85
508,81
723,346
562,157
91,412
487,514
588,144
513,85
218,41
773,492
79,333
591,180
63,107
42,202
860,582
134,534
167,168
610,346
609,477
83,222
252,55
827,117
765,401
342,55
106,143
891,57
879,332
