storenum,secs,dayofweek,meal,drinkonly,cost
76,119,Tues,Dinner,No,773
127,135,Mon,Dinner,Yes,149
777,105,Thur,Lunch,No,416
445,144,Mon,Lunch,Yes,191
493,82,Thur,Breakfast,No,242
822,268,Tues,Dinner,Yes,161
640,151,Mon,Lunch,No,261
365,60,Fri,Lunch,No,265
661,175,Wed,Dinner,No,747
607,151,Mon,Lunch,No,430
496,125,Tues,Dinner,No,728
597,368,Mon,Dinner,No,640
530,440,Fri,Dinner,No,781
639,119,Tues,Dinner,Yes,163
830,163,Fri,Lunch,No,314
777,205,Fri,Lunch,No,334
891,160,Thur,Dinner,No,730
664,337,Thur,Breakfast,No,381
287,135,Tues,Breakfast,Yes,135
6,129,Mon,Dinner,No,734
304,220,Thur,Lunch,Yes,155
544,129,Mon,Breakfast,No,404
239,227,Wed,Lunch,No,228
704,231,Mon,Lunch,No,477
284,107,Tues,Lunch,No,312
563,322,Wed,Lunch,No,523
210,170,Mon,Lunch,No,301
13,171,Fri,Breakfast,No,495
513,35,Fri,Lunch,No,591
192,192,Tues,Lunch,No,437
616,379,Tues,Breakfast,No,393
607,126,Fri,Dinner,No,578
520,571,Tues,Breakfast,No,345
151,143,Fri,Breakfast,Yes,112
112,179,Fri,Lunch,No,467
118,230,Wed,Lunch,Yes,159
604,360,Fri,Lunch,No,338
873,114,Wed,Dinner,No,542
659,288,Fri,Breakfast,No,181
192,117,Wed,Lunch,No,505
205,153,Fri,Lunch,No,301
73,565,Wed,Dinner,Yes,95
318,149,Fri,Dinner,No,700
625,207,Mon,Dinner,No,627
542,47,Wed,Dinner,No,704
196,142,Fri,Lunch,No,278
804,121,Tues,Lunch,No,239
781,144,Fri,Dinner,No,795
348,420,Mon,Lunch,No,364
740,404,Mon,Lunch,No,278
362,343,Wed,Dinner,No,344
150,176,Tues,Lunch,No,346
216,106,Fri,Dinner,No,543
324,36,Mon,Breakfast,No,258
440,323,Fri,Lunch,No,535
509,211,Thur,Dinner,No,425
156,74,Mon,Lunch,No,333
400,310,Thur,Lunch,No,215
272,103,Mon,Lunch,Yes,121
37,73,Mon,Lunch,No,338
270,449,Tues,Breakfast,Yes,155
256,402,Wed,Breakfast,Yes,164
360,391,Thur,Lunch,No,430
592,222,Thur,Dinner,No,673
30,99,Tues,Lunch,No,422
657,241,Wed,Lunch,Yes,158
774,168,Tues,Dinner,No,528
838,279,Tues,Dinner,No,539
802,565,Thur,Lunch,No,222
484,139,Fri,Breakfast,No,210
376,486,Tues,Lunch,No,553
399,599,Wed,Lunch,No,283
238,561,Thur,Lunch,No,369
685,225,Mon,Lunch,No,286
642,144,Wed,Lunch,No,386
133,111,Mon,Lunch,No,316
752,152,Wed,Dinner,Yes,178
8,237,Wed,Lunch,No,219
381,83,Mon,Lunch,No,491
289,102,Thur,Dinner,Yes,114
774,167,Wed,Dinner,No,804
835,47,Thur,Dinner,No,375
137,148,Tues,Lunch,Yes,146
667,312,Thur,Dinner,No,817
693,420,Fri,Dinner,Yes,112
311,92,Fri,Lunch,No,515
648,100,Fri,Dinner,Yes,107
514,229,Wed,Dinner,No,426
363,87,Thur,Dinner,No,296
891,367,Wed,Dinner,No,720
457,121,Fri,Lunch,No,568
10,165,Wed,Dinner,No,772
180,40,Wed,Dinner,No,355
255,171,Tues,Lunch,No,229
257,478,Tues,Breakfast,No,453
426,108,Wed,Lunch,No,347
565,472,Thur,Lunch,No,295
509,187,Fri,Lunch,No,466
164,172,Fri,Lunch,No,371
161,192,Wed,Lunch,No,303
671,398,Mon,Lunch,No,445
155,115,Tues,Dinner,No,666
774,158,Tues,Lunch,No,315
658,197,Wed,Lunch,No,233
711,210,Thur,Lunch,No,389
202,149,Fri,Lunch,No,365
9,437,Wed,Breakfast,No,315
863,164,Wed,Lunch,No,379
554,133,Tues,Lunch,No,569
769,368,Mon,Dinner,No,730
598,149,Thur,Lunch,No,228
55,236,Tues,Lunch,No,234
180,276,Wed,Dinner,No,317
251,130,Thur,Dinner,No,590
366,58,Fri,Lunch,No,470
551,170,Tues,Dinner,No,690
601,342,Fri,Dinner,No,424
359,144,Tues,Dinner,No,344
89,86,Tues,Dinner,No,458
354,104,Thur,Dinner,No,504
742,491,Tues,Lunch,No,277
108,160,Fri,Lunch,No,330
216,274,Fri,Dinner,No,381
652,539,Tues,Lunch,No,468
252,167,Thur,Lunch,Yes,185
154,425,Fri,Lunch,No,592
92,178,Thur,Lunch,No,425
165,178,Wed,Dinner,No,306
415,221,Mon,Dinner,No,304
784,182,Thur,Dinner,Yes,159
851,460,Tues,Lunch,No,406
457,280,Mon,Dinner,No,548
155,143,Thur,Dinner,No,627
98,98,Mon,Dinner,No,640
32,129,Thur,Lunch,No,475
518,101,Tues,Breakfast,No,323
166,328,Thur,Lunch,No,322
2,121,Fri,Breakfast,No,214
619,362,Wed,Lunch,No,397
31,187,Thur,Lunch,No,505
519,415,Fri,Dinner,No,802
434,463,Thur,Lunch,Yes,116
154,96,Wed,Dinner,No,647
60,491,Fri,Lunch,No,569
681,166,Mon,Breakfast,No,301
420,127,Mon,Breakfast,No,219
743,79,Fri,Lunch,No,400
643,313,Fri,Dinner,No,603
419,116,Fri,Dinner,No,819
664,155,Thur,Breakfast,No,378
679,519,Thur,Breakfast,No,293
378,32,Wed,Lunch,No,434
621,129,Mon,Lunch,No,501
265,103,Wed,Lunch,No,288
56,591,Thur,Breakfast,Yes,179
645,150,Fri,Dinner,No,626
50,38,Fri,Dinner,No,817
643,137,Thur,Lunch,No,447
590,184,Wed,Dinner,No,403
245,287,Thur,Dinner,No,546
707,426,Tues,Dinner,No,353
288,434,Fri,Lunch,No,474
355,154,Tues,Lunch,No,247
203,204,Tues,Lunch,No,370
812,36,Mon,Dinner,No,816
323,97,Thur,Lunch,No,349
701,140,Thur,Dinner,No,462
726,191,Wed,Lunch,Yes,133
80,163,Thur,Lunch,No,554
340,157,Mon,Dinner,No,757
439,453,Fri,Dinner,No,586
776,270,Thur,Lunch,No,539
651,124,Thur,Lunch,No,411
670,354,Mon,Dinner,No,307
412,106,Fri,Dinner,No,520
306,196,Wed,Lunch,No,299
713,128,Tues,Dinner,No,589
49,174,Mon,Lunch,No,546
199,80,Wed,Lunch,No,303
569,131,Thur,Lunch,No,423
598,361,Thur,Breakfast,Yes,87
846,70,Fri,Lunch,No,270
80,42,Thur,Dinner,No,760
633,376,Tues,Dinner,Yes,149
174,137,Wed,Lunch,No,466
347,75,Wed,Dinner,No,340
529,345,Mon,Dinner,No,725
220,453,Mon,Dinner,No,413
528,410,Thur,Lunch,No,349
746,87,Mon,Dinner,Yes,102
648,203,Mon,Lunch,No,580
351,110,Fri,Lunch,No,249
706,307,Tues,Lunch,No,230
733,163,Thur,Dinner,No,719
121,275,Thur,Lunch,No,270
788,181,Mon,Breakfast,No,471
563,598,Thur,Dinner,No,297
577,476,Wed,Lunch,No,310
113,162,Fri,Breakfast,Yes,132
52,296,Fri,Dinner,No,735
6,156,Fri,Dinner,No,612
769,112,Wed,Lunch,No,544
783,134,Fri,Dinner,No,643
293,204,Mon,Lunch,No,595
272,283,Mon,Breakfast,No,279
77,173,Thur,Lunch,No,348
568,195,Wed,Lunch,No,262
196,39,Fri,Lunch,No,561
837,169,Tues,Lunch,No,584
794,145,Mon,Breakfast,No,499
190,510,Wed,Dinner,No,565
882,269,Fri,Breakfast,No,255
119,298,Mon,Dinner,No,771
476,77,Thur,Lunch,No,487
132,239,Thur,Lunch,No,418
197,165,Wed,Breakfast,No,281
440,517,Tues,Dinner,No,720
779,192,Thur,Breakfast,No,428
17,71,Thur,Lunch,Yes,85
194,266,Tues,Dinner,No,791
556,96,Wed,Dinner,No,812
754,165,Fri,Lunch,No,328
102,271,Fri,Lunch,No,407
857,165,Fri,Lunch,Yes,121
261,78,Mon,Dinner,No,715
77,52,Fri,Lunch,No,221
468,577,Tues,Breakfast,No,490
754,110,Wed,Dinner,No,701
569,159,Thur,Dinner,No,675
724,447,Fri,Lunch,No,290
807,56,Tues,Lunch,No,399
775,190,Fri,Lunch,No,438
335,166,Thur,Breakfast,No,418
665,170,Fri,Lunch,No,410
889,274,Fri,Dinner,No,557
267,123,Mon,Lunch,No,486
679,154,Thur,Dinner,No,827
363,106,Tues,Dinner,No,750
216,322,Wed,Dinner,No,349
40,140,Tues,Lunch,No,467
714,266,Tues,Lunch,No,420
403,118,Thur,Dinner,No,306
319,411,Wed,Lunch,No,553
46,99,Fri,Breakfast,No,342
219,180,Fri,Dinner,No,411
884,40,Thur,Lunch,No,280
451,35,Tues,Dinner,No,315
193,34,Fri,Lunch,No,285
91,179,Fri,Dinner,No,512
214,141,Wed,Lunch,Yes,168
787,103,Tues,Lunch,No,480
52,111,Fri,Dinner,No,413
865,573,Tues,Lunch,No,475
128,441,Tues,Dinner,No,717
411,222,Mon,Lunch,No,455
554,274,Wed,Breakfast,No,450
452,192,Wed,Breakfast,No,380
830,336,Thur,Breakfast,No,205
426,93,Fri,Dinner,No,351
57,45,Thur,Lunch,No,379
741,47,Thur,Lunch,No,249
280,570,Tues,Lunch,No,242
715,178,Tues,Dinner,No,632
253,587,Wed,Dinner,No,560
203,151,Fri,Dinner,No,585
541,58,Mon,Dinner,No,501
716,188,Fri,Dinner,No,737
555,507,Wed,Lunch,No,317
867,144,Fri,Lunch,Yes,132
110,153,Tues,Lunch,No,383
29,438,Thur,Lunch,No,304
40,294,Thur,Lunch,Yes,112
883,405,Fri,Dinner,No,439
369,125,Fri,Dinner,Yes,194
674,548,Wed,Dinner,No,327
283,280,Thur,Dinner,No,649
816,173,Wed,Dinner,No,817
801,69,Tues,Dinner,No,450
342,136,Wed,Breakfast,No,484
830,125,Tues,Dinner,No,762
710,57,Tues,Breakfast,Yes,169
