storenum,secs,dayofweek,meal,drinkonly,cost,satisfaction
76,119,Tues,Dinner,No,773,8
127,135,Mon,Dinner,Yes,149,6
777,105,Thur,Lunch,No,416,8
445,144,Mon,Lunch,Yes,191,7
493,82,Thur,Breakfast,No,242,6
822,268,Tues,Dinner,Yes,161,6
640,151,Mon,Lunch,No,261,5
365,60,Fri,Lunch,No,265,7
661,175,Wed,Dinner,No,747,6
607,151,Mon,Lunch,No,430,5
496,125,Tues,Dinner,No,728,9
597,368,Mon,Dinner,No,640,7
530,440,Fri,Dinner,No,781,6
639,119,Tues,Dinner,Yes,163,5
830,163,Fri,Lunch,No,314,7
777,205,Fri,Lunch,No,334,7
891,160,Thur,Dinner,No,730,5
664,337,Thur,Breakfast,No,381,5
287,135,Tues,Breakfast,Yes,135,7
6,129,Mon,Dinner,No,734,6
304,220,Thur,Lunch,Yes,155,5
544,129,Mon,Breakfast,No,404,8
239,227,Wed,Lunch,No,228,4
704,231,Mon,Lunch,No,477,6
284,107,Tues,Lunch,No,312,5
563,322,Wed,Lunch,No,523,5
210,170,Mon,Lunch,No,301,5
13,171,Fri,Breakfast,No,495,7
513,35,Fri,Lunch,No,591,8
192,192,Tues,Lunch,No,437,7
616,379,Tues,Breakfast,No,393,4
607,126,Fri,Dinner,No,578,5
520,571,Tues,Breakfast,No,345,4
151,143,Fri,Breakfast,Yes,112,7
112,179,Fri,Lunch,No,467,6
118,230,Wed,Lunch,Yes,159,6
604,360,Fri,Lunch,No,338,4
873,114,Wed,Dinner,No,542,6
659,288,Fri,Breakfast,No,181,6
192,117,Wed,Lunch,No,505,7
205,153,Fri,Lunch,No,301,8
73,565,Wed,Dinner,Yes,95,2
318,149,Fri,Dinner,No,700,5
625,207,Mon,Dinner,No,627,6
542,47,Wed,Dinner,No,704,6
196,142,Fri,Lunch,No,278,6
804,121,Tues,Lunch,No,239,7
781,144,Fri,Dinner,No,795,8
348,420,Mon,Lunch,No,364,3
740,404,Mon,Lunch,No,278,5
362,343,Wed,Dinner,No,344,4
150,176,Tues,Lunch,No,346,8
216,106,Fri,Dinner,No,543,8
324,36,Mon,Breakfast,No,258,9
440,323,Fri,Lunch,No,535,7
509,211,Thur,Dinner,No,425,4
156,74,Mon,Lunch,No,333,5
400,310,Thur,Lunch,No,215,4
272,103,Mon,Lunch,Yes,121,5
37,73,Mon,Lunch,No,338,7
270,449,Tues,Breakfast,Yes,155,5
256,402,Wed,Breakfast,Yes,164,6
360,391,Thur,Lunch,No,430,3
592,222,Thur,Dinner,No,673,6
30,99,Tues,Lunch,No,422,6
657,241,Wed,Lunch,Yes,158,3
774,168,Tues,Dinner,No,528,6
838,279,Tues,Dinner,No,539,6
802,565,Thur,Lunch,No,222,4
484,139,Fri,Breakfast,No,210,7
376,486,Tues,Lunch,No,553,6
399,599,Wed,Lunch,No,283,2
238,561,Thur,Lunch,No,369,4
685,225,Mon,Lunch,No,286,6
642,144,Wed,Lunch,No,386,7
133,111,Mon,Lunch,No,316,7
752,152,Wed,Dinner,Yes,178,4
8,237,Wed,Lunch,No,219,7
381,83,Mon,Lunch,No,491,7
289,102,Thur,Dinner,Yes,114,4
774,167,Wed,Dinner,No,804,8
835,47,Thur,Dinner,No,375,8
137,148,Tues,Lunch,Yes,146,4
667,312,Thur,Dinner,No,817,6
693,420,Fri,Dinner,Yes,112,4
311,92,Fri,Lunch,No,515,6
648,100,Fri,Dinner,Yes,107,7
514,229,Wed,Dinner,No,426,8
363,87,Thur,Dinner,No,296,6
891,367,Wed,Dinner,No,720,4
457,121,Fri,Lunch,No,568,5
10,165,Wed,Dinner,No,772,6
180,40,Wed,Dinner,No,355,7
255,171,Tues,Lunch,No,229,7
257,478,Tues,Breakfast,No,453,4
426,108,Wed,Lunch,No,347,7
565,472,Thur,Lunch,No,295,5
509,187,Fri,Lunch,No,466,4
164,172,Fri,Lunch,No,371,4
161,192,Wed,Lunch,No,303,7
671,398,Mon,Lunch,No,445,6
155,115,Tues,Dinner,No,666,7
774,158,Tues,Lunch,No,315,6
658,197,Wed,Lunch,No,233,7
711,210,Thur,Lunch,No,389,7
202,149,Fri,Lunch,No,365,5
9,437,Wed,Breakfast,No,315,6
863,164,Wed,Lunch,No,379,6
554,133,Tues,Lunch,No,569,6
769,368,Mon,Dinner,No,730,7
598,149,Thur,Lunch,No,228,4
55,236,Tues,Lunch,No,234,6
180,276,Wed,Dinner,No,317,5
251,130,Thur,Dinner,No,590,5
366,58,Fri,Lunch,No,470,8
551,170,Tues,Dinner,No,690,7
601,342,Fri,Dinner,No,424,7
359,144,Tues,Dinner,No,344,4
89,86,Tues,Dinner,No,458,8
354,104,Thur,Dinner,No,504,7
742,491,Tues,Lunch,No,277,3
108,160,Fri,Lunch,No,330,7
216,274,Fri,Dinner,No,381,7
652,539,Tues,Lunch,No,468,3
252,167,Thur,Lunch,Yes,185,7
154,425,Fri,Lunch,No,592,6
92,178,Thur,Lunch,No,425,7
165,178,Wed,Dinner,No,306,4
415,221,Mon,Dinner,No,304,7
784,182,Thur,Dinner,Yes,159,5
851,460,Tues,Lunch,No,406,4
457,280,Mon,Dinner,No,548,6
155,143,Thur,Dinner,No,627,6
98,98,Mon,Dinner,No,640,6
32,129,Thur,Lunch,No,475,6
518,101,Tues,Breakfast,No,323,8
166,328,Thur,Lunch,No,322,6
2,121,Fri,Breakfast,No,214,6
619,362,Wed,Lunch,No,397,5
31,187,Thur,Lunch,No,505,6
519,415,Fri,Dinner,No,802,6
434,463,Thur,Lunch,Yes,116,5
154,96,Wed,Dinner,No,647,6
60,491,Fri,Lunch,No,569,6
681,166,Mon,Breakfast,No,301,7
420,127,Mon,Breakfast,No,219,8
743,79,Fri,Lunch,No,400,8
643,313,Fri,Dinner,No,603,7
419,116,Fri,Dinner,No,819,6
664,155,Thur,Breakfast,No,378,7
679,519,Thur,Breakfast,No,293,6
378,32,Wed,Lunch,No,434,5
621,129,Mon,Lunch,No,501,9
265,103,Wed,Lunch,No,288,7
56,591,Thur,Breakfast,Yes,179,6
645,150,Fri,Dinner,No,626,5
50,38,Fri,Dinner,No,817,6
643,137,Thur,Lunch,No,447,5
590,184,Wed,Dinner,No,403,7
245,287,Thur,Dinner,No,546,6
707,426,Tues,Dinner,No,353,4
288,434,Fri,Lunch,No,474,7
355,154,Tues,Lunch,No,247,6
203,204,Tues,Lunch,No,370,6
812,36,Mon,Dinner,No,816,10
323,97,Thur,Lunch,No,349,6
701,140,Thur,Dinner,No,462,5
726,191,Wed,Lunch,Yes,133,6
80,163,Thur,Lunch,No,554,6
340,157,Mon,Dinner,No,757,5
439,453,Fri,Dinner,No,586,3
776,270,Thur,Lunch,No,539,6
651,124,Thur,Lunch,No,411,5
670,354,Mon,Dinner,No,307,6
412,106,Fri,Dinner,No,520,9
306,196,Wed,Lunch,No,299,5
713,128,Tues,Dinner,No,589,5
49,174,Mon,Lunch,No,546,5
199,80,Wed,Lunch,No,303,7
569,131,Thur,Lunch,No,423,7
598,361,Thur,Breakfast,Yes,87,6
846,70,Fri,Lunch,No,270,7
80,42,Thur,Dinner,No,760,10
633,376,Tues,Dinner,Yes,149,4
174,137,Wed,Lunch,No,466,8
347,75,Wed,Dinner,No,340,7
529,345,Mon,Dinner,No,725,6
220,453,Mon,Dinner,No,413,4
528,410,Thur,Lunch,No,349,3
746,87,Mon,Dinner,Yes,102,7
648,203,Mon,Lunch,No,580,7
351,110,Fri,Lunch,No,249,6
706,307,Tues,Lunch,No,230,5
733,163,Thur,Dinner,No,719,5
121,275,Thur,Lunch,No,270,5
788,181,Mon,Breakfast,No,471,6
563,598,Thur,Dinner,No,297,4
577,476,Wed,Lunch,No,310,3
113,162,Fri,Breakfast,Yes,132,6
52,296,Fri,Dinner,No,735,6
6,156,Fri,Dinner,No,612,5
769,112,Wed,Lunch,No,544,6
783,134,Fri,Dinner,No,643,6
293,204,Mon,Lunch,No,595,6
272,283,Mon,Breakfast,No,279,4
77,173,Thur,Lunch,No,348,4
568,195,Wed,Lunch,No,262,4
196,39,Fri,Lunch,No,561,6
837,169,Tues,Lunch,No,584,7
794,145,Mon,Breakfast,No,499,6
190,510,Wed,Dinner,No,565,3
882,269,Fri,Breakfast,No,255,8
119,298,Mon,Dinner,No,771,8
476,77,Thur,Lunch,No,487,8
132,239,Thur,Lunch,No,418,6
197,165,Wed,Breakfast,No,281,8
440,517,Tues,Dinner,No,720,5
779,192,Thur,Breakfast,No,428,7
17,71,Thur,Lunch,Yes,85,7
194,266,Tues,Dinner,No,791,8
556,96,Wed,Dinner,No,812,7
754,165,Fri,Lunch,No,328,5
